id,text,category,reverse
A1,"A1. 非常にたくさんの仕事をしなければならない",A,False
A2,A2. 時間内に仕事が処理しきれない,A,False
A3,A3. 一生懸命働かなければならない,A,False
A4,A4. かなり注意を集中する必要がある,A,False
A5,A5. 高度の知識や技術が必要なむずかしい仕事だ,A,False
A6,"A6. 勤務時間中はいつも仕事のことを考えていなければならない",A,False
A7,A7. からだを大変よく使う仕事だ,A,False
A8,A8. 自分のペースで仕事ができる,A,True
A9,"A9. 自分で仕事の順番・やり方を決めることができる",A,True
A10,A10. 職場の仕事の方針に自分の意見を反映できる,A,True
A11,A11. 自分の技能や知識を仕事で使うことが少ない,A,False
A12,A12. 私の部署内で意見のくい違いがある,A,False
A13,A13. 私の部署と他の部署とはうまが合わない,A,False
A14,A14. 私の職場の雰囲気は友好的である,A,True
A15,"A15. 私の職場の作業環境（騒音、照明、温度、換気など）はよくない",A,False
A16,A16. 仕事の内容は自分にあっている,A,True
A17,A17. 働きがいのある仕事だ,A,True
B1,B1. 活気がわいてくる,B,True
B2,B2. 元気がいっぱいだ,B,True
B3,B3. 生き生きする,B,True
B4,B4. 怒りを感じる,B,False
B5,B5. 内心腹立たしい,B,False
B6,B6. イライラしている,B,False
B7,B7. ひどく疲れた,B,False
B8,B8. へとへとだ,B,False
B9,B9. だるい,B,False
B10,B10. 気がはりつめている,B,False
B11,B11. 不安だ,B,False
B12,B12. 落着かない,B,False
B13,B13. ゆううつだ,B,False
B14,B14. 何をするのも面倒だ,B,False
B15,B15. 物事に集中できない,B,False
B16,B16. 気が晴れない,B,False
B17,B17. 仕事が手につかない,B,False
B18,B18. 悲しいと感じる,B,False
B19,B19. めまいがする,B,False
B20,B20. 体のふしぶしが痛む,B,False
B21,"B21. 頭が重かったり頭痛がする",B,False
B22,B22. 首筋や肩がこる,B,False
B23,B23. 腰が痛い,B,False
B24,B24. 目が疲れる,B,False
B25,"B25. 動悸や息切れがする",B,False
B26,B26. 胃腸の具合が悪い,B,False
B27,B27. 食欲がない,B,False
B28,"B28. 便秘や下痢をする",B,False
B29,B29. よく眠れない,B,False
C1,C1. 上司にどのくらい気軽に話ができますか,C,True
C2,C2. 職場の同僚にどのくらい気軽に話ができますか,C,True
C3,"C3. 配偶者、家族、友人にどのくらい気軽に話ができますか",C,True
C4,C4. 困った時、上司はどのくらい頼りになりますか,C,True
C5,C5. 困った時、職場の同僚はどのくらい頼りになりますか,C,True
C6,"C6. 困った時、配偶者、家族、友人はどのくらい頼りになりますか",C,True
C7,"C7. 個人的な問題を相談したら、上司はどのくらいきいてくれますか",C,True
C8,"C8. 個人的な問題を相談したら、職場の同僚はどのくらいきいてくれますか",C,True
C9,"C9. 個人的な問題を相談したら、配偶者、家族、友人はどのくらいきいてくれますか",C,True
D1,D1. 仕事に満足だ,D,True
D2,D2. 家庭生活に満足だ,D,True